,player,age,nationality,position,selling_club,previous_league,est_market_value,fee,buying_club,window,year,buying_league
0,Ante Palaversa,18,Croatia,Defensive Midfield,HNK Hajduk Split,Croatia,£495Th.,£5.67m,Manchester City,s_w=w,2018,GB1
1,Ko Itakura,21,Japan,Centre-Back,Kawasaki Frontale,Japan,£630Th.,£990Th.,Manchester City,s_w=w,2018,GB1
2,Yangel Herrera,20,Venezuela,Central Midfield,New York City FC,United States,£900Th.,"End of loanDec 31, 2018",Manchester City,s_w=w,2018,GB1
3,Marlos Moreno,22,Colombia,Right Winger,Clube de Regatas do Flamengo,Brazil,£450Th.,"End of loanDec 31, 2018",Manchester City,s_w=w,2018,GB1
4,Anthony Cáceres,26,Australia,Central Midfield,Melbourne City FC,Australia,£450Th.,"End of loanDec 31, 2018",Manchester City,s_w=w,2018,GB1
0,Joel Pereira,22,Portugal,Goalkeeper,Vitória Setúbal FC,Portugal,£900Th.,"End of loanJan 9, 2019",Manchester United,s_w=w,2018,GB1
0,Taiwo Awoniyi,21,Nigeria,Centre-Forward,KAA Gent,Belgium,£1.35m,"End of loanJan 11, 2019",Liverpool FC,s_w=w,2018,GB1
1,Ben Woodburn,19,Wales,Attacking Midfield,Sheffield United,England,£4.50m,"End of loanJan 9, 2019",Liverpool FC,s_w=w,2018,GB1
2,Connor Randall,23,England,Right-Back,Rochdale AFC,England,£450Th.,"End of loanJan 1, 2019",Liverpool FC,s_w=w,2018,GB1
3,Ovie Ejaria,21,England,Central Midfield,Rangers FC,Scotland,£810Th.,"End of loanDec 15, 2018",Liverpool FC,s_w=w,2018,GB1
0,Christian Pulisic,20,United States,Left Winger,Borussia Dortmund,Germany,£45.00m,£57.60m,Chelsea FC,s_w=w,2018,GB1
1,Gonzalo Higuaín,31,Argentina,Centre-Forward,Juventus FC,Italy,£45.00m,Loan fee:£7.02m,Chelsea FC,s_w=w,2018,GB1
2,Abdul Rahman Baba,24,Ghana,Left-Back,FC Schalke 04,Germany,£4.50m,"End of loanJan 28, 2019",Chelsea FC,s_w=w,2018,GB1
3,Lewis Baker,23,England,Central Midfield,Leeds United,England,£4.95m,"End of loanJan 8, 2019",Chelsea FC,s_w=w,2018,GB1
4,Matt Miazga,23,United States,Centre-Back,FC Nantes,France,£2.70m,"End of loanJan 24, 2019",Chelsea FC,s_w=w,2018,GB1
5,Michy Batshuayi,25,Belgium,Centre-Forward,Valencia CF,Spain,£27.00m,"End of loanJan 30, 2019",Chelsea FC,s_w=w,2018,GB1
6,Callum Hudson-Odoi,18,England,Left Winger,Chelsea FC U23,England,-,-,Chelsea FC,s_w=w,2018,GB1
7,Jamal Blackman,25,England,Goalkeeper,Leeds United,England,£450Th.,"End of loanNov 16, 2018",Chelsea FC,s_w=w,2018,GB1
0,Denis Suárez,25,Spain,Attacking Midfield,FC Barcelona,Spain,£10.80m,Loan fee:£2.25m,Arsenal FC,s_w=w,2018,GB1
1,Eddie Nketiah,19,England,Centre-Forward,Arsenal FC U23,England,-,-,Arsenal FC,s_w=w,2018,GB1
0,Peter Crouch,38,England,Centre-Forward,Stoke City,England,£900Th.,free transfer,Burnley FC,s_w=w,2018,GB1
1,Ntumba Massanka,22,England,Centre-Forward,Dover Athletic,England,-,"End of loanJan 1, 2019",Burnley FC,s_w=w,2018,GB1
2,Jonathan Walters,35,Ireland,Right Winger,Ipswich Town,England,£1.35m,"End of loanDec 31, 2018",Burnley FC,s_w=w,2018,GB1
0,Cuco Martina,29,Curacao,Right-Back,Stoke City,England,£2.25m,"End of loanJan 30, 2019",Everton FC,s_w=w,2018,GB1
1,Yannick Bolasie,29,DR Congo,Left Winger,Aston Villa,England,£13.50m,"End of loanJan 21, 2019",Everton FC,s_w=w,2018,GB1
0,Youri Tielemans,21,Belgium,Central Midfield,AS Monaco,France,£16.20m,loan transfer,Leicester City,s_w=w,2018,GB1
1,Harvey Barnes,21,England,Left Midfield,West Bromwich Albion,England,£1.35m,"End of loanJan 11, 2019",Leicester City,s_w=w,2018,GB1
0,Miguel Almirón,24,Paraguay,Attacking Midfield,Atlanta United FC,United States,£13.50m,£21.60m,Newcastle United,s_w=w,2018,GB1
1,Antonio Barreca,23,Italy,Left-Back,AS Monaco,France,£6.30m,Loan fee:£1.04m,Newcastle United,s_w=w,2018,GB1
2,Sean Longstaff,21,England,Central Midfield,Newcastle United U23,England,£135Th.,-,Newcastle United,s_w=w,2018,GB1
3,Jamie Sterry,23,England,Right-Back,Crewe Alexandra,England,£68Th.,"End of loanMar 13, 2019",Newcastle United,s_w=w,2018,GB1
4,Rolando Aarons,23,England,Left Winger,FC Slovan Liberec,Czech Republic,£450Th.,"End of loanDec 31, 2018",Newcastle United,s_w=w,2018,GB1
0,Michy Batshuayi,25,Belgium,Centre-Forward,Chelsea FC,England,£27.00m,Loan fee:£1.04m,Crystal Palace,s_w=w,2018,GB1
1,Bakary Sako,30,Mali,Left Winger,West Bromwich Albion,England,£4.50m,free transfer,Crystal Palace,s_w=w,2018,GB1
2,Lucas Perri,21,Brazil,Goalkeeper,São Paulo Futebol Clube,Brazil,£45Th.,loan transfer,Crystal Palace,s_w=w,2018,GB1
3,Jaroslaw Jach,24,Poland,Centre-Back,Caykur Rizespor,Turkey,£1.17m,"End of loanJan 31, 2019",Crystal Palace,s_w=w,2018,GB1
4,Ryan Inniss,23,England,Centre-Back,Dundee FC,Scotland,£135Th.,"End of loanJan 31, 2019",Crystal Palace,s_w=w,2018,GB1
5,Jordon Mutch,27,England,Central Midfield,Vancouver Whitecaps FC,United States,£900Th.,"End of loanDec 31, 2018",Crystal Palace,s_w=w,2018,GB1
0,Dominic Solanke,21,England,Centre-Forward,Liverpool FC,England,£9.00m,£19.08m,AFC Bournemouth,s_w=w,2018,GB1
1,Chris Mepham,21,Wales,Centre-Back,Brentford FC,England,£7.20m,£12.24m,AFC Bournemouth,s_w=w,2018,GB1
2,Nathaniel Clyne,27,England,Right-Back,Liverpool FC,England,£13.50m,loan transfer,AFC Bournemouth,s_w=w,2018,GB1
3,Emerson Hyndman,22,United States,Central Midfield,Hibernian FC,Scotland,£900Th.,"End of loanJan 1, 2019",AFC Bournemouth,s_w=w,2018,GB1
4,Kyle Taylor,19,England,Central Midfield,AFC Bournemouth U21,England,-,-,AFC Bournemouth,s_w=w,2018,GB1
0,Sead Haksabanovic,19,Montenegro,Left Winger,Málaga CF,Spain,£900Th.,"End of loanJan 16, 2019",West Ham United,s_w=w,2018,GB1
1,Samir Nasri,31,France,Attacking Midfield,Disqualification,Without Club,£5.40m,-,West Ham United,s_w=w,2018,GB1
0,Filip Stuparevic,18,Serbia,Centre-Forward,FK Vozdovac,Serbia,£630Th.,£2.03m,Watford FC,s_w=w,2018,GB1
1,Louis Yamfam,20,England,Right Midfield,Royston Town FC,England,-,free transfer,Watford FC,s_w=w,2018,GB1
2,Jerome Sinclair,22,England,Centre-Forward,Sunderland AFC,England,£1.35m,"End of loanJan 10, 2019",Watford FC,s_w=w,2018,GB1
3,Tommie Hoban,25,Ireland,Centre-Back,Aberdeen FC,Scotland,£540Th.,"End of loanFeb 20, 2019",Watford FC,s_w=w,2018,GB1
4,Jorge Segura,21,Colombia,Centre-Back,Independiente Medellín,Colombia,£810Th.,"End of loanDec 31, 2018",Watford FC,s_w=w,2018,GB1
5,Valber Huerta,25,Chile,Centre-Back,Huachipato FC,Chile,£518Th.,"End of loanDec 31, 2018",Watford FC,s_w=w,2018,GB1
0,Alexis Mac Allister,20,Argentina,Attacking Midfield,Asociación Atlética Argentinos Juniors,Argentina,£4.50m,£7.20m,Brighton & Hove Albion,s_w=w,2018,GB1
1,Jan Mlakar,20,Slovenia,Centre-Forward,NK Maribor,Slovenia,£675Th.,£2.70m,Brighton & Hove Albion,s_w=w,2018,GB1
2,Tudor Baluta,19,Romania,Defensive Midfield,FC Viitorul Constanța,Romania,£1.17m,£2.61m,Brighton & Hove Albion,s_w=w,2018,GB1
3,Billy Arce,20,Ecuador,Left Winger,Extremadura UD,Spain,£900Th.,"End of loanJan 9, 2019",Brighton & Hove Albion,s_w=w,2018,GB1
4,Dan Burn,26,England,Centre-Back,Wigan Athletic,England,£2.70m,"End of loanJan 1, 2019",Brighton & Hove Albion,s_w=w,2018,GB1
5,Oliver Norwood,27,Northern Ireland,Central Midfield,Sheffield United,England,£2.70m,"End of loanJan 3, 2019",Brighton & Hove Albion,s_w=w,2018,GB1
0,Karlan Grant,21,England,Centre-Forward,Charlton Athletic,England,£180Th.,£1.53m,Huddersfield Town,s_w=w,2018,GB1
1,Jason Puncheon,32,England,Attacking Midfield,Crystal Palace,England,£3.60m,loan transfer,Huddersfield Town,s_w=w,2018,GB1
2,Joel Coleman,23,England,Goalkeeper,Shrewsbury Town,England,£450Th.,"End of loanJan 10, 2019",Huddersfield Town,s_w=w,2018,GB1
0,Ryan Seager,22,England,Centre-Forward,SC Telstar,Netherlands,£90Th.,"End of loanJan 7, 2019",Southampton FC,s_w=w,2018,GB1
1,Josh Sims,21,England,Right Winger,Reading FC,England,£900Th.,"End of loanJan 7, 2019",Southampton FC,s_w=w,2018,GB1
2,Jake Hesketh,22,England,Attacking Midfield,Burton Albion,England,-,"End of loanJan 2, 2019",Southampton FC,s_w=w,2018,GB1
3,Yan Valery,19,France,Right-Back,Southampton FC U23,England,-,-,Southampton FC,s_w=w,2018,GB1
4,Michael Obafemi,18,Ireland,Centre-Forward,Southampton FC U23,England,£900Th.,-,Southampton FC,s_w=w,2018,GB1
0,Jonny Otto,24,Spain,Left-Back,Atlético Madrid,Spain,£10.80m,£18.90m,Wolverhampton Wanderers,s_w=w,2018,GB1
1,Aaron Collins,21,Wales,Centre-Forward,Colchester United,England,£68Th.,"End of loanJan 2, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
2,Benik Afobe,25,DR Congo,Centre-Forward,Stoke City,England,£9.00m,"End of loanJan 3, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
3,Jack Ruddy,21,Scotland,Goalkeeper,FC Jumilla (liq.),Spain,£45Th.,"End of loanJan 4, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
4,Ben Stevenson,21,England,Central Midfield,FC Jumilla (liq.),Spain,£450Th.,"End of loanJan 19, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
5,Bright Enobakhare,20,Nigeria,Centre-Forward,Kilmarnock FC,Scotland,£450Th.,"End of loanJan 6, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
6,Phil Ofosu-Ayeh,27,Ghana,Right-Back,FC Hansa Rostock,Germany,£360Th.,"End of loanJan 30, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
7,Paul Gladon,26,Netherlands,Centre-Forward,Sint-Truidense VV,Belgium,£450Th.,"End of loanJan 1, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
8,Joe Mason,27,Ireland,Centre-Forward,Portsmouth FC,England,£1.35m,"End of loanJan 2, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
9,Connor Ronan,20,Ireland,Central Midfield,Walsall FC,England,£225Th.,"End of loanJan 1, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
10,Danny Batth,28,England,Centre-Back,Middlesbrough FC,England,£900Th.,"End of loanJan 28, 2019",Wolverhampton Wanderers,s_w=w,2018,GB1
11,Harry Burgoyne,21,England,Goalkeeper,Plymouth Argyle,England,-,"End of loanDec 7, 2018",Wolverhampton Wanderers,s_w=w,2018,GB1
12,Jordan Graham,23,England,Left Winger,Ipswich Town,England,£450Th.,"End of loanDec 31, 2018",Wolverhampton Wanderers,s_w=w,2018,GB1
0,Emiliano Sala,28,Argentina,Centre-Forward,FC Nantes,France,£14.40m,£15.30m,Cardiff City,s_w=w,2018,GB1
1,Leandro Bacuna,27,Curacao,Central Midfield,Reading FC,England,£1.80m,£3.11m,Cardiff City,s_w=w,2018,GB1
2,Oumar Niasse,28,Senegal,Centre-Forward,Everton FC,England,£6.30m,loan transfer,Cardiff City,s_w=w,2018,GB1
3,Omar Bogle,26,England,Centre-Forward,Birmingham City,England,£450Th.,"End of loanJan 27, 2019",Cardiff City,s_w=w,2018,GB1
4,Stuart O'Keefe,27,England,Central Midfield,Plymouth Argyle,England,£675Th.,"End of loanJan 5, 2019",Cardiff City,s_w=w,2018,GB1
5,Rhys Healey,24,England,Centre-Forward,Milton Keynes Dons,England,£135Th.,"End of loanJan 5, 2019",Cardiff City,s_w=w,2018,GB1
0,Ryan Babel,32,Netherlands,Left Winger,Besiktas JK,Turkey,£4.50m,£1.80m,Fulham FC,s_w=w,2018,GB1
1,Havard Nordtveit,28,Norway,Centre-Back,TSG 1899 Hoffenheim,Germany,£3.60m,Loan fee:£900Th.,Fulham FC,s_w=w,2018,GB1
2,Lazar Markovic,24,Serbia,Right Winger,Liverpool FC,England,£4.50m,free transfer,Fulham FC,s_w=w,2018,GB1
3,Marcelo Djaló,25,Guinea-Bissau,Centre-Back,Extremadura UD,Spain,£450Th.,"End of loanJan 31, 2019",Fulham FC,s_w=w,2018,GB1
4,Cauley Woodrow,24,England,Centre-Forward,Barnsley FC,England,£675Th.,"End of loanJan 2, 2019",Fulham FC,s_w=w,2018,GB1
0,Riyad Mahrez,27,Algeria,Right Winger,Leicester City,England,£45.00m,£61.02m,Manchester City,s_w=s,2018,GB1
1,Philippe Sandler,21,Netherlands,Centre-Back,PEC Zwolle,Netherlands,£2.25m,£2.25m,Manchester City,s_w=s,2018,GB1
2,Daniel Arzani,19,Australia,Left Winger,Melbourne City FC,Australia,£1.35m,£801Th.,Manchester City,s_w=s,2018,GB1
3,Tosin Adarabioyo,21,England,Centre-Back,West Bromwich Albion,England,£3.15m,"End of loanMay 31, 2019",Manchester City,s_w=s,2018,GB1
4,Arijanet Muric,19,Kosovo,Goalkeeper,Manchester City U23,England,-,-,Manchester City,s_w=s,2018,GB1
